907,79
2,1
1555498,795970
44919,9446
27,8
7,2
2,2
2,1
1363,478
243,39
4483,5999
2,2
4105,3230
522741888,636898984
1098,541
2,3
2000,504
399560512,841874077
387,789
1118,783
2,1
2245546,2894749
351,435
12399,11563
560016,112068
4478,2765
2,4
4298657,2389201
3,2
1247,3091
20,21
4122876,1268874
547,251
1,2
7,3
24216,12075
2,1
80,277
4093332,1268874
19711,35156
2,3
52455,44053
4,2
6235195,3057067
6648,4258
11043,6030
29742,32488
12138,5846
57217,43962
3250,2800
2,2
50,54
4463652,2389201
24,21
6639,6000
13,17
992,1424
1,1
6625998,16768300
4,2
23,18
12,10
2,4
3508893,2389201
6,6
1,4
61,134
2193643,795970
16,14
11758,575
70353,44060
561,1823
1,1
746181,252562
2,1
9,4
20,7
90109,72927
33,30
998876,1268874
3860486,433328
1788,234
1224,466
3,2
505901,324864
2592,1333
10,13
67193,105629
3,6
4,4
39,7
2,1
5,3
4713450,2894749
459564,216664
1807,713
46889,28046
4787868,2389201
12,31
5149728,2389201
2976,1727
19,10
3,2
2368056,1442184
24321,12006
71821544,130347551
452,938
5180895,5611783
25,18
29646,27781
10,3
34,46
445,65
458669,324864
113,16
4500854,2894749
279166,72302
22255,16462
3,1
17,19
17,12
7,2
1391873,505548
1083567,1120834
792,541
38,13
16,11
1,1
10591,3044
3,7
7,8
3045531,2894749
3,3
98052,57124
4856544,2894749
9787,1666
1741148,795970
3031,1121
5,6
7,3
9,3
15,15
4,2
16,10
2042,3152
4722034,2894749
738143,808741
2,1
2293,3072
2,1
7,4
825265,633443
10188,5957
8287364,6295046
15,16
3066,2007
2064819,1442184
41,336
1594,1748
29760,12609
1,1
8035,3980
1,1
7203,4042
1975,488
4,3
1,1
9,8
1805270,1120834
3084338,2828648
51,34
164884,60268
3,5
2782519,1268874
8,8
1,1
21,2
3,2
2,4
2839158,2894749
1738729,795970
849917,633443
624603,60268
9,15
169,116
5213,4569
1373,777
1,2
1,1
2,1
36,19
364,146
3501770,2389201
22097,23407
1,2
88064,85724
18525,15011
14,26
516,565
2,1
4722034,2894749
1,3
967,485
20,22
19,16
36,24
203392,112124
10,19
1758,1303
356151,252562
435379,374446
3511,1524
3,2
1,1
1272421,795970
2,1
3,4
7,3
5,3
2,24
950,237
24,14
383,554
449272,252562
2,1
2,1
2325103,1442184
7,1
11090,4014
336,253
2862597,2423624
2,1
8,3
14,9
334889,335703
5,3
4317816,2389201
2,4
2,1
692,773
1561870,505548
354,483
5,6
4024,2007
400,240
2424370,505548
4484,4014
5,2
20,21
3675570,2828648
2156650,1268874
846,58
12622,6115
2239,1769
2,4
152,54
171,56
1443398,1120834
27775,12237
5397332,2894749
4488928,2389201
123884,60118
251,194
3,5
34843,12584
27218,8028
2,4
3,1
1,3
2,1
9,18
2,4
2,3
565923,252562
17,1
3151,1483
1046,272
6,5
481,405
3686,768
2666192,1442184
2150,2007
112,53
120763,88840
2,1
157434,118360
5830,2082
55,19
1820,1423
4402624,2894749
11,12
3,4
1468505,477320
912470,1268874
2,1
3013,3196
1,2
2112,1273
11919,5998
40,49
316491,252562
1954,2007
224,533
569,224
1501496,778438
1628,3176
1062,2084
266,213
1971298,505548
9,4
3,4
13,17
4862,1771
4,3
4,2
74503,138597
1471,1705
2908955,2389201
4,4
35889,12635
15,21
261555,72302
150,71
2,2
250586,113140
10,5
70,28
3,1
1177071,795970
3453142,2389201
13,10
2,2
9329,6072
4094748,2389201
1026,1199
18914,6016
3,2
1,2
3277,483
3221425,2894749
19,14
7,7
200,69
2325,1683
6,1
9539,8028
7,2
18852,14665
1108138,469226
1,3
2583918,1442184
905,663
4,4
5,4
37,26
10784,4029
2,6
8,10
2,2
2651285,2828648
53678,55994
14382,1491
1279036,795970
3,1
1394,649
2,1
2,1
562181,1234651
3,1
2,8
15,11
722285,411501
4,9
2030126,795970
1,2
64,28
290114,72302
11434,4014
7,3
9,3
51,36
24,60
203715,112988
37,28
431,1364
2123,688
814540,158939
5611090,2894749
94,1871
2,1
1260,1467
3,4
19123,12060
13,10
27,40
12,17
180373,286701
203247,252562
178109,72302
5,1
2986582,2894749
4,3
3942887,2894749
838,1487
586930,72302
5,12
1,1
40,30
10,24
632596,411501
15,218
336595,650724
162,639
4,2
16030,4045
11,15
13380,11560
8,7
53979,17769
2,1
35833,55444
51138,44336
49,154
769,677
1704684,795970
15,2
2452,928
13055,4933
13068,1843
7,1
776,667
7,5
4,3
1,1
5,3
3740,511
6235195,3057067
3,5
14,18
3,1
952,551
585,734
261,372
3,1
17158,5842
1759402,1442184
4,5
2421930,938452
914,485
60035,44211
1,2
11,4
5012199,2894749
168248,89664
4347,2584
7,5
3,4
42,25
1286992,1120834
9022,7638
9022,5760
17,5
2,1
2,2
81532,287043
10522,4835
7,2
276,73
17,29
2,5
1,7
73,64
19,12
24,16
31,46
65794856,130335449
17313646,33998306
3,1
56670,44442
29,18
5269,4008
6,6
15,18
19695,27935
280,34
11,12
28660,9339
21257,7249
2023119,1268874
3,1
675,727
5,3
15,15
42,42
2,1
155,48
14844,10570
2501,1836
544,489
242,63
37,1
14,11
927,349
25,20
4488928,2389201
9,12
138793136,28348684
6,4
28,59
1776,1227
606972,324864
1,1
125135,88454
4202488,2389201
1804999,982868
2,3
132416,88964
2,4
2,3
30883,29945
2193643,795970
3458,1835
21069,7129
51,48
1,1
185661,79168
3,3
80326,71548
1008062,469226
2,2
8850,5181
113710,44433
2,1
2580,1227
4470,2670
1338676,505548
25996,4983
21,638
2,4
3,5
10709,4014
115519,95735
14,2
2,1
4,5
21,20
863866,252562
2,1
5129176,2241668
3,2
390839,111752
23042,15139
20,2
1,3
7,10
5851,4036
64105,12034
1584648,2337388
363115,217148
2,1
6,2
433,522
20276,15288
1238046,795970
59865896,16972602
4,1
2872,1162
1,1
6974,6011
3298,1889
3,1
1,1
15,6
2865342,3102258
2,1
22,7
4787868,2389201
25,10
4963,1660
66,28
4329,1181
4462,480
3688,1906
4546,2987
1,1
784,1041
8,8
42,19
1406987,778438
965599,1120834
18,3
20,19
4176327,1442184
1,1
17,10
9716,6043
46,48
8237,5984
1732046,2828648
1867,1830
2,4
20490,6044
7,1
434670,216664
3,2
4,2
1,2
2,2
28213,11984
4,1
7473,5381
132,141
304942,299538
41,29
10,4
242828304,40536673
26081,9407
1,1
4,2
7042,2883
2,1
299244,252562
3,6
8,9
1,1
16342,5998
1,1
275,567
3,1
5,8
177516,91592
4,6
5,2
345,550
10,1
20,3
30,44
4271,2479
3929,1581
2,2
3,1
66,27
1127357,505548
26,5
404218,252562
922926,808741
4355957,2828648
3455,1320
2,2
2,16
5,4
981,571
7,8
2,3
1,1
5,7
108,64
1326,433
4,2
347996,411501
12209,5053
2,5
17087,13327
6,4
24,27
1557,534
7,2
2897,2007
4298653,2389201
5,1
19,21
105894,89000
13420,9355
1,2
1813,1379
15,9
4585573,2389201
819,548
22,22
2,1
10329,4037
9,4
2,2
1652,1468
3055,1887
2878,2007
9771,6014
68,28
3758,2007
311,216
30,22
225555,111428
6,8
6,4
409278,252562
15806,4014
2071630,1442184
45619,35096
3,1
574,470
48,26
110867,137017
12,1
4,4
3,2
60035,44211
3338255,1442184
21600,15301
39278,40532
4,3
2,2
3477698,2894749
16,5
344,340
6144988,2894749
6,4
26,10
17,5
1208,740
6968,3753
456530,252562
48,40
2,1
19,29
3404522,2389201
1149,1637
5494334,2894749
16151,9360
2035,1599
195819,252562
15,12
2,1
2884738,633443
5,5
633140,146151
207405136,152787858
1,1
488,626
6812,5920
3400,1309
2,1
283,44
2,3
37372,23724
26,24
8,5
175,120
2173716,2389201
4,4
330,239
157,258
3869,2007
2,3
25,31
136,54
2,4
3045528,2894749
19351,11299
130543,55422
786837,505548
3374,2923
3,2
2,3
1374958,795970
896477,46876
4435488,1268874
2,3
14,8
1,4
25,18
6,9
570395,505548
1286893,1120834
1810219,1442184
3544281,2389201
38,82
474,588
4,2
12,3
2,1
110,31
29,25
1,1
2629983,1626628
489,324
251736,125266
12,20
663339,778438
1668,1779
113346,51808
1557923,778438
26,25
28,31
3314,1040
1045,636
5,3
1329714,324864
594948,505548
10,5
6,5
429,320
1,4
19,17
28,4
260455,137517
14,1
2855,2007
4613198,2894749
5752,7595
9256,6054
52,141
8830,6041
4848746,2894749
902046,252562
53216,35182
3,4
104947,57207
4532214,2894749
436966,252562
2315,746
2,1
1333,1873
169911,55994
1,1
2,1
2549755,1442184
534,775
87112,110888
1506243,902070
1,1
30444,12018
1498,1492
2,18
53,60
22,24
5,4
240838,60268
156,774
2,9
1510,874
11,27
2,1
8260,2007
3,1
103370,46876
18,19
3045064,1234902
1,1
1329120,505548
8937,5869
9137,6000
2,1
1,3
8700,1999
5,4
3325,3250
7854,6057
6,3
3520998,2389201
303,644
3,1
4,2
2167,1540
9093,4003
5846,2137
40670,29565
53461,44073
7,9
4,9
1,3
8,9
2,3
109344,60268
23,3
31,21
1810219,1442184
81,61
46,40
22,21
1344068,795970
16,16
40578,39735
20108,16785
1127357,505548
2774,2001
3425019,2894749
3925934,2389201
48,36
3,2
1306,1302
612,810
2,1
495712,411501
5656754,2894749
434,295
776537,324864
9885,12903
35,8
21579,7328
14463,3674
3,1
192,244
3829,1536
17,25
2,1
3,1
2,2
30,4
222,33
22,21
2,2
3,1
2139,1741
1204,1176
2,1
8,2
3749398,2389201
6557339,2241668
24988,15255
2869,1453
14,12
7,4
800,770
1997,1272
1247,705
986365,411501
1,1
1,1
7,4
471,335
38,30
870829,411501
1849,519
221,30
21,23
18,15
4585573,2389201
129765,79168
2,1
3,5
53,44
5,2
7,8
2,1
2945781,1442184
34,24
743,512
27,24
24,20
8,8
13,4
10,2
858,1375
1,1
2714,930
2,1
1303042,633443
7,4
2,1
3138,490
4,4
3,1
1491,439
2,1
435,70
369278,183039
3,2
21,14
1735743,1236708
3,4
1,1
795974,411501
738,333
19,22
7355,7553
1728,3081
1564,1628
4,2
456530,252562
3,2
4585573,2389201
2234,1857
9,18
1637,1984
5,3
6,1
8928295,33536600
24,32
304,655
35833,55444
2150494,1442184
18,8
2,1
11,3
1469884,832418
2,3
2545663,1442184
3,2
1903,1556
2,2
